status,group,experiment,display,purpose,seed,alpha,spearman_rho,validity,uniqueness,novelty,mae,slope,warning,config,output_dir,command
complete_pass,faithful_allocation,rf_FD_ALLOC_NEG16_QED_s42,$N_{neg}=16$,Negative-sample allocation ablation: B=4096 with Nneg=16.,42,alpha=5.0,0.07606397460907155,1.0,0.7938,0.9998740236835475,0.24635285258400458,0.09197321119579384,,configs/reviewer_faithful/allocation/rf_FD_ALLOC_NEG16_QED_s42.yaml,outputs/reviewer_faithful/allocation/rf_FD_ALLOC_NEG16_QED_s42,python -m src.train.train_selfies_cfg --config configs/reviewer_faithful/allocation/rf_FD_ALLOC_NEG16_QED_s42.yaml
complete_pass,faithful_allocation,rf_FD_ALLOC_NEG32_QED_s42,$N_{neg}=32$,Negative-sample allocation ablation: B=4096 with Nneg=32.,42,alpha=5.0,0.07557868872403145,1.0,0.799,0.9997496871088861,0.245314230770439,0.09184651715394987,,configs/reviewer_faithful/allocation/rf_FD_ALLOC_NEG32_QED_s42.yaml,outputs/reviewer_faithful/allocation/rf_FD_ALLOC_NEG32_QED_s42,python -m src.train.train_selfies_cfg --config configs/reviewer_faithful/allocation/rf_FD_ALLOC_NEG32_QED_s42.yaml
complete_pass,faithful_allocation,rf_FD_ALLOC_POS01_QED_s42,$N_{pos}=1$,"Positive-sample allocation ablation: Npos=1 with fixed N_c=64, Nneg=64.",42,alpha=3.0,0.027783257840404373,1.0,0.6873,1.0,0.2507889351676524,0.03503619799956302,,configs/reviewer_faithful/allocation/rf_FD_ALLOC_POS01_QED_s42.yaml,outputs/reviewer_faithful/allocation/rf_FD_ALLOC_POS01_QED_s42,python -m src.train.train_selfies_cfg --config configs/reviewer_faithful/allocation/rf_FD_ALLOC_POS01_QED_s42.yaml
complete_pass,faithful_allocation,rf_FD_ALLOC_POS16_QED_s42,$N_{pos}=16$,"Positive-sample allocation ablation: Npos=16 with fixed N_c=64, Nneg=64.",42,alpha=5.0,0.05292057389150618,1.0,0.7669,1.0,0.24642829808043462,0.06540857924082785,,configs/reviewer_faithful/allocation/rf_FD_ALLOC_POS16_QED_s42.yaml,outputs/reviewer_faithful/allocation/rf_FD_ALLOC_POS16_QED_s42,python -m src.train.train_selfies_cfg --config configs/reviewer_faithful/allocation/rf_FD_ALLOC_POS16_QED_s42.yaml
complete_pass,faithful_allocation,rf_FD_ALLOC_POS32_QED_s42,$N_{pos}=32$,"Positive-sample allocation ablation: Npos=32 with fixed N_c=64, Nneg=64.",42,alpha=5.0,0.062178453018852164,1.0,0.7941,0.9997481425513159,0.24369817933449503,0.07826920642476438,,configs/reviewer_faithful/allocation/rf_FD_ALLOC_POS32_QED_s42.yaml,outputs/reviewer_faithful/allocation/rf_FD_ALLOC_POS32_QED_s42,python -m src.train.train_selfies_cfg --config configs/reviewer_faithful/allocation/rf_FD_ALLOC_POS32_QED_s42.yaml
complete_pass,faithful_allocation,rf_FD_ALLOC_POS64_QED_s42,$N_{pos}=64$,"Positive-sample allocation ablation baseline: Npos=64 with fixed N_c=64, Nneg=64.",42,alpha=3.0,0.0548756830673587,1.0,0.814,1.0,0.24681140365807713,0.06386459520575855,,configs/reviewer_faithful/allocation/rf_FD_ALLOC_POS64_QED_s42.yaml,outputs/reviewer_faithful/allocation/rf_FD_ALLOC_POS64_QED_s42,python -m src.train.train_selfies_cfg --config configs/reviewer_faithful/allocation/rf_FD_ALLOC_POS64_QED_s42.yaml
complete_pass,faithful_core,rf_FD_STRICT_PLAIN_PHI_QED_s42,Strict plain-$\phi$,"Strict molecular analogue of original Drifting: latent-MAE phi, Algorithm 2, generated negatives, QED bins as classes.",42,alpha=3.0,0.0548756830673587,1.0,0.814,1.0,0.24681140365807713,0.06386459520575855,,configs/reviewer_faithful/core/rf_FD_STRICT_PLAIN_PHI_QED_s42.yaml,outputs/reviewer_faithful/core/rf_FD_STRICT_PLAIN_PHI_QED_s42,python -m src.train.train_selfies_cfg --config configs/reviewer_faithful/core/rf_FD_STRICT_PLAIN_PHI_QED_s42.yaml
complete_pass,faithful_core,rf_FD_STRICT_PROP_PHI_QED_s42,Property-aware $\phi$,"Feature-quality check mirroring latent-MAE + classifier fine-tuning: property-aware phi, same Drifting protocol.",42,alpha=5.0,0.10478187725761887,1.0,0.8723,1.0,0.2540149213600775,0.11395971948374833,,configs/reviewer_faithful/core/rf_FD_STRICT_PROP_PHI_QED_s42.yaml,outputs/reviewer_faithful/core/rf_FD_STRICT_PROP_PHI_QED_s42,python -m src.train.train_selfies_cfg --config configs/reviewer_faithful/core/rf_FD_STRICT_PROP_PHI_QED_s42.yaml
complete_pass,faithful_core,rf_FD_STRICT_RANDOM_PHI_QED_s42,Random $\phi$,Random frozen phi control: tests whether Algorithm 2 needs a meaningful feature metric.,42,alpha=5.0,0.12196168518988729,1.0,0.9763,0.9998975724674792,0.2217536056390407,0.16812775983612557,,configs/reviewer_faithful/core/rf_FD_STRICT_RANDOM_PHI_QED_s42.yaml,outputs/reviewer_faithful/core/rf_FD_STRICT_RANDOM_PHI_QED_s42,python -m src.train.train_selfies_cfg --config configs/reviewer_faithful/core/rf_FD_STRICT_RANDOM_PHI_QED_s42.yaml
complete_pass,faithful_core,rf_FD_STRICT_ZSPACE_QED_s42,z-space drift,No-feature z-space control: molecular analogue of the original paper's feature-extractor necessity claim.,42,alpha=5.0,0.12748316277088775,1.0,0.978,0.9997955010224949,0.22149591242114847,0.16868405033050243,,configs/reviewer_faithful/core/rf_FD_STRICT_ZSPACE_QED_s42.yaml,outputs/reviewer_faithful/core/rf_FD_STRICT_ZSPACE_QED_s42,python -m src.train.train_selfies_cfg --config configs/reviewer_faithful/core/rf_FD_STRICT_ZSPACE_QED_s42.yaml
